name,transcription
2/20260220 170355.wav,एटिएम बुथ्भित्र क्यामेरा जडान गरिएको छ
2/20260220 170603.wav,हजुरको समस्या प्रविधि विभागमा फरवर्ड गरेको छु
2/20260220 170611.wav,महिला उद्यमी कर्जामा सहुलियत ब्याजदर छ
2/20260220 170652.wav,कृपया आफ्नो पिनकोड कसैलाई नभन्नुहोला
2/20260220 170700.wav,पैसा गन्दा मेसिनको प्रयोग गर्नुहोला
2/20260220 170706.wav,हजुरको खाज नम्बर कणठ छ कि हेर्नुपर्छ
2/20260220 170713.wav,धन्यवाद हजुरको विश्वासको कदर गर्छौ शुभयात्रा सुरक्षित रहनुहोला
2/20260220 170727.wav,नानीलाई आज चोरो आएकोले औषधि खुवाउनुहोला
2/20260220 170739.wav,भोलि पौडी स्विमिङ खेल्ने पालो कक्षा चारको हो
2/20260220 170748.wav,नानीको स्कुल झोला धेरै गरुङ्गो भएछ
2/20260220 170808.wav,यो महिनाको बस भाडा बाँकी छ
2/20260220 170814.wav,नानीले गृहका सार्ने बानी बसनेछ
2/20260220 170829.wav,विद्यालयमा जङ्कफुड ल्याउन मनाही छ
2/20260220 171100.wav,अभिभावकले गेटबास देखाएर मात्र नानी लैजानुहोला
2/20260220 171109.wav,आज नानीले साथीसँग झगडा गरेकी थिइन्
2/20260220 171117.wav,भोलि सरस्वती पूजाको कार्यक्रम छ सबै आउनुहोला
2/20260220 171125.wav,नानीको अक्षर सुधार्न घरमा पनि अभ्यास गराउनु
2/20260220 171131.wav,विद्यालयको वार्षिक मुखपत्र म्यागेजिन प्रकाशित भयो
2/20260220 171140.wav,नानीको दाँत दुखेकोले नर्सिङ रूममा आराम गर्दै थििन्
2/20260220 171148.wav,आजको डान्स क्लास धेरै रमाइलो भयो
2/20260220 171154.wav,जाडोको लागि न्यानो टोपी लगाइदिनुहोला
2/20260220 171159.wav,विद्यालयको सिसी क्यामेरा फुटेज हेर्न मिल्छ
2/20260220 171207.wav,नानीलाई समयपालालन पङ्क्चुवालिटी सिकाउनुहोस्
2/20260220 171214.wav,भोलिदेखि समर क्याम्पस सुरु हुँदैछ
2/20260220 171223.wav,नानीको पानीको बोटल स्कुलमै छुटेछ
2/20260220 171242.wav,कृपया डायरीमा अभिभावकको प्रतिक्रिया लेखिदिनुहोला
2/20260220 171300.wav,विज्ञान प्रदर्शनी साइन्स एक्जिबिसनमा सहभागी हुन भन्नुहोस्
2/20260220 171310.wav,आज ट्राफिक जामले गर्दा बस ढिलो भयो
2/20260220 171315.wav,नानीको कपाल धेरै लामो भएछ काटिदिनुहोला
2/20260220 171324.wav,विद्यालयको खेल मैदानमा फुटबल खेल्न मिल्छ
2/20260220 171332.wav,यो पटक नानी क्लास क्याप्टेनमाइन्
2/20260220 171337.wav,शैक्षिक सामग्री स्टेसनरी स्कुलमै किन्न पाइन्छ
2/20260220 171345.wav,नानीलाई कथाको किताब पढ्न प्रोत्साहन गर्नुहोस्
2/20260220 171352.wav,परीक्षाको बेला विदा नलिनुहोला
2/20260220 171405.wav,आज नानीले लन्च बक्स पुरै खाइन्
2/20260220 171414.wav,विद्यालयको वातावरण हरियाली बनाउँदैछौँ
2/20260220 171419.wav,नानीको जुत्तामा पलिस टल्केको हुनुपर्छ
2/20260220 171435.wav,सङगीत कक्षा म्युजिक क्लासमा भर्ना गर्न चाहनुहुन्छ
2/20260220 171444.wav,भोलि बिदा हो कि पढाइ हुन्छ
2/20260220 171449.wav,नानीले चस्मा लगाउन थालेको कति भयो
2/20260220 171456.wav,विद्यालयको बस कुन रुटबाट जान्छ
2/20260220 171502.wav,नानीलाई एक्लै बाटो नकाट्न सिकाउनुहोस्
2/20260220 171509.wav,आज अभिभावकको हस्ताक्षर मिलेन
2/20260220 171522.wav,नानीको प्रगतिको बारेमा शिक्षकसँग फोनमा कुरा गर्न मिल्छ
2/20260220 171528.wav,पुस्तकालयको किताब चात्नु हुँदैन
2/20260220 171541.wav,नानीको जन्मदिनमा चकलेट मात्र बाँड्न पाइन्छ
2/20260220 171555.wav,विद्यालय विकास कोषमा सहयोग गर्न सक्नुहुन्छ
2/20260220 171601.wav,नानीलाई घरमा टिभी धेरै हेर्न नदिनुहोला
2/20260220 171609.wav,आज स्काउटको तालिम छ
2/20260220 171615.wav,नानीको नङ काटिदिन बिर्सिनुभएछ
2/20260220 171621.wav,भोलि अतिरिक्त कक्षा एक्स्ट्रा क्लास हुनेछ
2/20260220 171630.wav,नानीको साथीको नाम के हो
2/20260220 171635.wav,विद्यालयको नियम पुस्तिका ह्यान्डबुक पढ्नुभयो
2/20260220 171714.wav,नानीलाई असल संस्कार सिकाउनु हाम्रो र तपाईँको दायित्व हो
2/20260220 171731.wav,आज नानीले कविता वाचन गरिन्
2/20260220 171737.wav,धन्यवाद नानीलाई लिन समयमै आउनुहोला
2/20260220 171751.wav,शुभ सन्ध्या भोलि भेटौला
2/20260220 171757.wav,थेसिस बुझाउने म्याद थपिएको छ
2/20260220 171805.wav,दीक्षान्त समारोह कन्भोकेसनको फारम भर्नुभयो
2/20260220 171812.wav,आज क्याम्पसमा रक्तदान कार्यक्रम छ
2/20260220 171818.wav,हजुरको परिचय पत्र हराएको सूचना दिनुहोस्
2/20260220 171826.wav,यो विषयमा नन क्रेडिट कोर्स पनि छ
2/20260220 171832.wav,कलेजको ई लाइब्रेरीको पासवर्ड लिनुहोस्
2/20260220 171849.wav,इन्डस्ट्रियल भिजिटको लागि रिपोर्ट बुझाउनुहोला
2/20260220 171859.wav,हजुरको प्रेजेन्टेसन स्किल राम्रो छ
2/20260220 171904.wav,कलेजको जर्नलमा लेख प्रकाशित गर्न सक्नुहुन्छ
2/20260220 171913.wav,विद्यार्थी युनियनको चुनाव कहिले छ
2/20260220 171929.wav,ल्याब रिपोर्ट आज चेक गराउनुहोस्
2/20260220 171936.wav,गेस्ट लेक्चरर आउँदै हुनुहुन्छ
2/20260220 171945.wav,कलेजको टीसर्ट लिन प्रशासनमा जानुहोस्
2/20260220 171952.wav,हजुरको जिपेए अलिक कम आयो
2/20260220 171958.wav,करियर काउन्सिलिङमा भाग लिनुहोस्
2/20260220 172005.wav,यो कोठामा प्रोजेक्टर बिग्रिएको छ
2/20260220 172011.wav,कलेजको वाइफाई शैक्षिक प्रयोजनको लागि मात्र हो
2/20260220 172019.wav,आज बास्केटबल कोर्ट खाली छ
2/20260220 172026.wav,सेमिनार हलको चाबी कहाँ पाइन्छ
2/20260220 172033.wav,हजुरको साथी बिरामी भएर होस्टलमा हुनुहुन्छ
2/20260220 172041.wav,कलेज टप गर्नेलाई स्वर्ण पदक दिइन्छ
2/20260220 172056.wav,आजको वर्कसप अनिवार्य छ
2/20260220 172103.wav,भर्ना शुल्क रिफन्ड फिर्ता हुँदैन
2/20260220 172113.wav,यो सेमेस्टरमा मेजर विषय रोज्नुपर्छ
2/20260220 172119.wav,कलेजको वेबसाइटमा नोटिस आएको छ
2/20260220 172126.wav,हजुरको प्रोजेक्ट पार्टनर को हो
2/20260220 172133.wav,बिहानको सिफ्टमा सार्न मिल्छ
2/20260220 172146.wav,आज प्राध्यापक प्रोफेसर पिदामा हुनुहुन्छ
2/20260220 172203.wav,कलेजको वक्यौता रकम ड्युस क्लियर गर्नुहोस्ता रकम
2/20260220 172223.wav,परीक्षा केन्द्र एइक्जाम सेन्टर अर्को कलेजमा परेछ
2/20260220 172231.wav,भोलि कलेज बन्द रहनेछ
2/20260220 172237.wav,यो असाइन्मेन्टको साहित्यिक चोरी गर्नु हुँदैन
2/20260220 172247.wav,कलेजको लोगो भएको ब्याज लगाउनुहोला
2/20260220 172304.wav,आज क्याफेटरिियामा भिड छ
2/20260220 172318.wav,जुनियर विद्यार्थीलाई यागिङ गर्न पाइँदैन
2/20260220 172325.wav,हजुरको सोधपूछको जवाब इमेलमा पठाएका छौँ
2/20260220 172333.wav,कलेजको वातावरण शैक्षिक हुनुपर्छ
2/20260220 172341.wav,यो पुस्तक सन्दर्भ सामग्री रेफरेन्सको लागि मात्र हो
2/20260220 172350.wav,एज अ भलिबल प्रतियोगिता छ कलेजको बस छुट्ययो भने के गर्ने यो फर्म
2/20260220 172406.wav,यो फर्म विभागीय प्रमुख एचओडीबाट प्रमाणित गराउनुहोस्
2/20260220 172432.wav,हजुरको नाम हाजिरी रजिस्टरमा छैन
2/20260220 172440.wav,कलेजको वार्षिकोत्सव एनिभर्सरीमा स्वयं सेवक चाहिन्छ
2/20260220 172528.wav,ग्रुप स्टडी गर्न लाइब्रेरी जानुहोस्
2/20260220 172534.wav,यो कोर्स सकेपछि जब प्लेसमेन्ट हुन्छ
2/20260220 172541.wav,कलेजझाताभित्र राजनीति गर्न मना
2/20260220 172557.wav,हजुरको परिचय पत्रको म्याच सकिएछ
2/20260220 172603.wav,आजको कक्षा अनलाइन माध्यमबाट हुन्छ
2/20260220 172611.wav,धन्यवाद परीक्षाको लागि शुभकामना भविष्यको योजना के छ
2/20260220 172620.wav,एनओसी लेटर शिक्षा मन्त्रालयबाट लिनुपर्छ
2/20260220 172830.wav,हजुरको जिआरईको स्कोर कति आयो
2/20260220 172837.wav,स्पोन्सरको नाता प्रमाणपत्र चाहिन्छ
2/20260220 172844.wav,स्टेटमेन्ट अफ पर्पस एसओपीमा आफ्नो उद्देश्य प्रष्ट लेख्नुहोस्
2/20260220 172853.wav,भिसा लाग्यो भने मात्र हामी शुल्क लिन्छौँ
2/20260220 172908.wav,यो युनिभर्सिटीमा नेपाली विद्यार्थीसङघ पनि छ
2/20260220 172917.wav,हजुरको मेडिकल रिपोर्ट आयो
2/20260220 172923.wav,पुलिस रिपोर्ट बनाउनुभयो
2/20260220 172929.wav,अफर लेटरको लागि आवेदन शुल्क लाग्छ
2/20260220 172945.wav,हजुरको क्यापियरको कारण खुलाउनु पर्छ
2/20260220 172955.wav,टोफलको डेट बुक गरिदिउँ
2/20260220 173000.wav,एयर पिकअपको व्यवस्था मिलाउनुपर्र्छ
2/20260220 173007.wav,हजुरको डकुमेन्ट नोटरी गर्नुपर्छमेन्ट नोटरी गर्नुपर्छ
2/20260220 173020.wav,बैंकलोनको प्रक्रिया सुरु गर्नुभयो
2/20260220 173028.wav,यो देशमा काम पाउन कतिको सजिलो छ
2/20260220 173034.wav,हजुरको इन्टरभ्यू डेट सर्यो
2/20260220 173040.wav,कन्डिसनल अफर लेटर आएको छ
2/20260220 173045.wav,ट्यूसन फी कलेजलाई सिधै पठाउनुपर्छ
2/20260220 173053.wav,हजुरको शैक्षिक प्रमाणपत्र सबै सक्कल हुनुपर्छ
2/20260220 173059.wav,बायोमेट्रिकको लागि एपोइन्टमेन्ट लिनुपर्छ
2/20260220 173104.wav,हजुरको परिवारको वार्षिक आमदानी कति छ
2/20260220 173111.wav,यो छात्रवृत्ति स्कलरसिपको लागि निबन्ध लेख्नुपर्छ
2/20260220 173118.wav,भिसा अपिल गर्न मिल्छ
2/20260220 173123.wav,ट्राभल इन्सुरेन्स गर्न नबिर्सिनुहोला
2/20260220 173131.wav,त्यहाँको जीवनशैली अलि महँगो छ
2/20260220 173137.wav,हजुरको भाषा कक्षा ल्याङ्ग्वेज क्लास आजदेखि सुरु भयो
2/20260220 173144.wav,सिए रिपोर्ट बनाउनुपर्र्छ
2/20260220 173149.wav,हजुरको पासपोर्ट साइजको फोटो स्टुडियोमा खिच्नुहोला
2/20260220 173158.wav,दृतावास एम्बसीले थप कागज मागेको छ
2/20260220 173206.wav,हजुरको सिओई आयो
2/20260220 173212.wav,डिपेन्डेन्टको लागि विवाह दर्ता र फोटो चाहिन्छ
2/20260220 173219.wav,यो कन्सल्टेन्सी सरकारबाट मान्यता प्राप्त हो
2/20260220 173228.wav,हजुरको इमेलको पासवर्ड याद राख्नुहोला
2/20260220 173235.wav,युनिभर्सिटी परिवर्तन गर्न मिल्छ कि मिल्दैन
2/20260220 173242.wav,सिजनल वर्कको भिसा होइन यो
2/20260220 173248.wav,हजुरको साथीलाई पनि सँगै बोलाउनुहोस्
2/20260220 173300.wav,यो सहरमा बस्न अलि सस्तो पर्छ
2/20260220 173306.wav,हजुरको भिसा ग्रान्ट भयो बधाई छ
2/20260220 173313.wav,ओरिजिनल डक्युमेन्ट स्क्यान गरेर पठाउनुहोला
2/20260220 173331.wav,हजुरको भिसा शुल्क भिसाफी हामी तिर्दिन्छौँं
2/20260220 173340.wav,त्यहाँ पुगेपछि सिम कार्ड लिनुहोला
2/20260220 173346.wav,हजुरको बसाइसराईको कागज पनि चाहिन्छ
2/20260220 173351.wav,यो कोर्समा पीआरको सम्भावना राम्रो छ
2/20260220 173358.wav,हजुरको उमेर अलि बढी भएछ
2/20260220 173404.wav,कलेजको होटलमा बस्न निवेदन दिनुपर्छ
2/20260220 173412.wav,हजुरको नाम हिज््चे स्पेलिङ बिग्रेछ
2/20260220 173419.wav,हामी मक टेस्ट लिन्छौँ
2/20260220 173424.wav,यो प्रक्रियामा तीन महिना लाग्न सक्छ
2/20260220 173431.wav,धन्यवाद हजुरको विश्वास तोड्ने छैनौ
2/20260220 173438.wav,हजुरको विदेश बसाई सुगत रहोस्
2/20260220 173447.wav,हजुरको कम्पनी प्रोफाइल पठाउनुहोस् न
2/20260220 173454.wav,हामी डिलरसिप दिन इच्छुक छौँ
2/20260220 173501.wav,यो प्रोजेक्टको लागि टेन्डर आह्वान भएको छ
2/20260220 173518.wav,हाम्रो मार्केटिङ
2/20260220 173526.wav,यो उत्पादनमा वातावरण मैत्री ट्याग इकोफ्रेन्डली ट्याग छ
2/20260220 173536.wav,हजुरको भुक्तानी चेकबाट के ट्रान्सफर गर्नुहुन्छ
2/20260220 173546.wav,यो महिनाको सेल्स रिपोर्ट तयार पार्नुहोस्
2/20260220 173553.wav,हामी कर्पोरेट डिस्काउन्ट दिन्छौँ
2/20260220 173601.wav,हजुरको अर्डर डिस्प्याच भइसक्यो
2/20260220 173608.wav,हाम्रो नयाँ ब्रोसर हेर्नुहोस् त
2/20260220 173614.wav,ब्रान्ड एम्ब्यासेडर बन्न प्रस्ताव पठाउनुहोस्
2/20260220 173621.wav,गोदाम वेयरहााउसमा स्टक कति बाँकी छ
2/20260220 173627.wav,हजुरको भ्याटबिल तयार छ
2/20260220 173633.wav,हामी सोसल मिडियामा पनि उपलब्ध छौँ
2/20260220 173640.wav,यो सम्झौता कन्ट्र्याक्ट पाँच वर्षको लागि हो
2/20260220 173704.wav,क्लाइन्टसँगको मिटिङ राम्रो भयो
2/20260220 173718.wav,हजुरको सुझाव फिडब्याकले हामीलाई सुधार गर्ने मौका दिन्छ
2/20260220 173726.wav,हामी मेला एक्सपोमा स्टल राख्दैछौँ
2/20260220 173734.wav,यो सफ्टवेयर डेमो हेर्न चाहनुहुन्छ
2/20260220 173740.wav,कर्मचारी सञ्चय कोषको विवरण दिनुहोस्
2/20260220 173747.wav,आज बोर्ड डाइरेक्टरहरूको बैठक छ
2/20260220 173752.wav,हजुरको कम्पनीको लोगोको फा
2/20260220 173806.wav,हामी गुणस्तर चिन्ह आयोस्ो सर्टिफाइड प्राप्त कम्पनी हौ
2/20260223 134129.wav,यो मसिन अपरेट गर्न तालिम ट्रेनिङ दिन्छौँ
2/20260223 134220.wav,डिस्ट्रिब्युटर बन्न बैङं्क ग्यारेन्टी चाहिन्छ
2/20260223 134228.wav,हजुरको गुनासो चौबिस घण्टाभित्र सम्बोधन हुन्छ
2/20260223 134237.wav,हाम्रो शाखा ब्रान्च विस्तार हुँदैछ
2/20260223 134249.wav,यो प्रडक्टको म्याद एक्सपाइरी डेट हेरेर लिनुहोला
2/20260223 134409.wav,हामी सहुलियत दरमा होम डेलिभरी गर्छौँ
2/20260223 134418.wav,हजुरको नाम रिसेप्सनमा टिप्नुभयो
2/20260223 134426.wav,आजको लन्च मिटिङ पय भयो
2/20260223 134432.wav,पर्चेज अर्डर मेल गर्नुहोला
2/20260223 134438.wav,हामी बजार सर्वेक्षण मार्केट सर्वे गर्दैछौँ
2/20260223 134503.wav,हजुरको पार्टनरसिप प्रस्ताव पार्टनरसिप प्रपोजल हामीलाई मन पर्यो
2/20260223 134510.wav,कृपया भिजिटिङ कार्ड दिनुहोस्
2/20260223 134519.wav,स्टक क्लियरेन्स सेयर लागेको छ
2/20260223 134524.wav,हजुरको सेवा अवधि सर्भिस पिरियड थपिएको छ
2/20260223 134531.wav,हामी वार्षिक प्रतिवेदन एनुयअल रिपोर्ट पठाउँदैछौँ
2/20260223 134538.wav,यो सामान आयत इम्पोर्ट गरिएको हो
2/20260223 134554.wav,हजुरको टार्गेट पूरा भएमा बोनस पाउनुहुनेछ
2/20260223 134603.wav,यो गोप्य जानकारी कन्फिडेन्सियल इन्फो सुरक्षित राख्नुहोला
2/20260223 134610.wav,हामी ग्राहकवर्गलाई दसैँको शुभकामना दिन्छौँ
2/20260223 134616.wav,यो प्याकेजिङ परिवर्तन गर्नुपर्ने देखियो
2/20260223 134623.wav,हजुरको लगानी सुरक्षित छ
2/20260223 134628.wav,प्रतिस्पर्धी कम्प्याटेटरको मूल्य कति छ
2/20260223 134634.wav,हामी सिएसआरमा पनि सक्रिय छौँ
2/20260223 134651.wav,व्यावसायिक सफलताको शुभकामना
2/20260223 134700.wav,हजुरको ल्यापटपमा ब्लू स्क्रिन आयो
2/20260223 134706.wav,प्रिन्टरमा टोनर सकिए जस्तो छ
2/20260223 134716.wav,वेबसाइटको एसएसएल सर्टिफिकेट रिन्यू गर्नुपर्छ
2/20260223 134725.wav,डेटाबेस कनेक्ट भइरहेको छैन
2/20260223 134732.wav,हजुरको अफिसको नेटवर्कमा फायरवाल छ
2/20260223 134737.wav,यो सफ्टवेयर ट्रायल भर्जन मात्र हो
2/20260223 134746.wav,किबोर्डको कुन बटनले काम गरेन
2/20260223 134751.wav,हजुरको हार्ड ड्राइभबाट अनौठो आवाज आइरहेको छ
2/20260223 134757.wav,हामी क्लाउड ब्याकअप रिकभर गर्दैछौँ
2/20260223 134811.wav,यो लिङ्क फिसिङ जस्तो देखिन्छ क्लिक नगर्नुहोला
2/20260223 134821.wav,हजुरको म्याक एड्रेस दिनुहोस् त
2/20260223 134827.wav,भिपिएन कनेक्ट गरेर चलाउनुहोस्
2/20260223 134836.wav,आज इन्टरनेट सेवा प्रदायक आइएसपीको मर्मत कार्य छ
2/20260223 134844.wav,हजुरको मोबाइलमा ओटिपी आयो
2/20260223 134848.wav,यो फाइल धेरै ठूलो लार्ज फाइल भएर इमेल गएन
2/20260223 134857.wav,कम्प्युटर फर्म्याट गर्नुपर्ने हुन्छ
2/20260223 134902.wav,हजुरको डोमेन नेम उपलब्ध छ
2/20260223 134908.wav,एप क्रास भयो भने रिपोर्ट पठाउनुहोस्
2/20260223 134914.wav,यो मोनिटर डिस्प्ले आएन
2/20260223 134919.wav,हामी बायोमेट्रिक डिभाइस जडान गर्छौँ
2/20260223 134925.wav,हजुरको युजरनेम परिवर्तन गर्न मिल्दैन
2/20260223 134931.wav,कोडिङमा एरर देखिएको छ
2/20260223 134937.wav,हामी अनसाइड सपोर्टको लागि मान्छे पठाउँदैछौँ
2/20260223 134943.wav,यो फिचर अर्को रिलिजमा आउँछ
2/20260223 135033.wav,ऱ्याम अपग्रेड गर्दा स्पिड बढ्छ
2/20260223 135039.wav,हजुरको ब्राउजरको क्याश क्लियर गर्नुहोस्
2/20260223 135045.wav,अपरेटिङ सिस्टम ओएस इन्स्टल हुँदैछ
2/20260223 135059.wav,यो प्लगइिनले साइट स्लो बनायो
2/20260223 135104.wav,हामी एन्टिभाइरस इन्स्टल गरिदिन्छौँ
2/20260223 135127.wav,हजुरको आइपी ब्लक भएको रहेछ
2/20260223 135133.wav,सर्भर माइग्रेसनको काम राति हुन्छ
2/20260223 135138.wav,यो ल्यापटपको ब्याट्ररी लाइफ कम छ
2/20260223 135144.wav,हामी एपिआई इन्टिग्रेट गर्दैछौँ
2/20260223 135149.wav,पासवर्ड कम्तीमा आठ क्यारेक्टरको हुनुपर्छ
2/20260223 135156.wav,हजुरको स्क्रिन सेयर गर्नुहोस् त
2/20260223 135202.wav,यो डिभाइसको ड्राइभर मिसिङ छ
2/20260223 135208.wav,हामी मन्थली मेन्टेनेन्स गर्छौँ
2/20260223 135223.wav,यो इमेल स्प्याम फोल्डरमा हिँड्नुहोस्
2/20260223 135229.wav,हजुरको वेबसाइट मोबाइल फ्रेन्डली छ
2/20260223 135239.wav,डेटा इन्क्रिप्सन अन छ
2/20260223 135313.wav,यो केबल एचडिएमआई केबल जोडेर हेर्नुहोस्
2/20260223 135319.wav,सिस्टम लक फाइल चेक गर्दैछु
2/20260223 135324.wav,हजुरको राउटरको रेन्ज पुगेन
2/20260223 135329.wav,यो फान्ट सपोर्ट गर्दैन
2/20260223 135334.wav,हामी ट्वेन्टी फोर सेभेन निगरानी मोनिटरिङ गर्छौँं
2/20260223 135353.wav,हार्ड डिस्क एसएसटी राख्दा राम्रो हुन्छ
2/20260223 135401.wav,यो समस्या समाधान भयो अब चलाएर हेर्नुहोस्
2/20260223 135407.wav,धन्यवाद सपोर्ट टिमलाई सम्पर्क गर्नुभएकोमा
2/20260223 135427.wav,हजुरको जग्गाको ब्लु प्र्रिन्ट नक्सा यहाँ छ
2/20260223 140822.wav,घरको नक्सापासको प्रमाणपत्र लिनुभयो
2/20260223 140841.wav,मालपोत कार्यालयमा आज धेरै भिड छ
2/20260223 141028.wav,खानेपानीको पाइप मर्म्मत गर्न वडामा भन्नुहोस्
2/20260223 141035.wav,सामाजिक सुरक्षा भत्ता सोसयल सिक्युरिटीको कार्ड नवीकरण गर्नुहोस्
2/20260223 141045.wav,हजुरको लाल पूर्जा ल्यान्ड सर्टिफिकेट हरायो भने पत्रिकामा सूचना दिनुपर्छ
2/20260223 141122.wav,प्रहरी चारित्रिक प्रमाणपत्र पुलिस रिपोर्ट बनिसक्यो
2/20260223 141129.wav,आजको सार्वजनिक सुनवाई पब्लिक हियरिङ कार्यक्रम छ
2/20260223 141139.wav,हजुरको व्यवसाय दर्ता बिजनेस रेजिस्ट्रेसन खारेज हुन सक्छ
2/20260223 141146.wav,कर चुक्ता प्रमाणपत्र ट्याक्स क्लियरेन्स लिन तीिन दिन लाग्छ
2/20260223 141155.wav,यो बाटो सार्वजनिक हो मिच्न पाइँदैन
2/20260223 141203.wav,जन्म दर्ता पैँतिस दिनभित्र निशुल्क हुन्छ
2/20260223 141217.wav,हजुरको मतदाता नाामवली भोटर आइडीमा नाम छ
2/20260223 141236.wav,यो जग्गाको मूल्याङ्कन कति छ
2/20260223 141247.wav,कृपया सरकारी छाप स्ट्याम्प लागेको कागज नच्यात्नुहोला
2/20260223 141254.wav,उपभोक्ता समिति युजर कमिटी गठन गर्नुपर्छ
2/20260223 141301.wav,हजुरको लाइसेन्स लिखित परीक्षा रिटर्न क्जाम पास भयो
2/20260223 141307.wav,ट्रायल सेन्टर राधे राधेमा छ
2/20260223 141332.wav,हजुरको सिफारिस टाइप हुँदैछ एकछिन बस्नुस्
2/20260223 141415.wav,यो योजनाको बजेट सकियो
2/20260223 141420.wav,हेलो सरकारमा गुनासो टिपाउन सक्नुहुन्छ
2/20260223 141426.wav,हजुरको फाइल चलानी डिस्प्याच नम्बर कति हो
2/20260223 141432.wav,दर्ता रेजिस्ट्रेसन शाखामा गएर नम्बर लिनुहोस्
2/20260223 141438.wav,आज जिल्ला प्रशासन कार्यालयमा मिटिङ छ
2/20260223 141444.wav,विपद व्यवस्थापन डिजास्टर म्यानेजमेन्टको लागि सम्पर्क गर्नुहोस्
2/20260223 141454.wav,हजुरको नागरिकता झुत्रो भएछ प्रतिलिपि लिनुहोस्
2/20260223 141540.wav,हजुरको घरको बाटो कति फिटको छ
2/20260223 141551.wav,अङ्गीकृत नागरिकताको प्रक्रिया फरक हुन्छ
2/20260223 141558.wav,यो सरकारी जग्गा लिस मा लिन मिल्दैन
2/20260223 141605.wav,हजुरको नाममा वारेन्ट जारी भएको छैन
2/20260223 141611.wav,ट्राफिक नियम पालना गर्नुहोस्
2/20260223 141615.wav,यो फारममा फोटो ठास्ने ठाउँ छुटियो
2/20260223 141643.wav,कृषि अनुदान एग्रिकल्चर ग्रान्टको लागि प्रस्ताव पेश गर्नुहोस्
2/20260223 141702.wav,वन कार्यालयबाट काठ ओसार पोसारको पुर्जी पुर्जी लिनुपर्छ
2/20260223 141717.wav,हजुरको मुद्दा केस फैसला हुन बाँकी छ
2/20260223 141725.wav,सूचनाको हक राइट टु इन्फर्मेसन प्रयोग गर्न सक्नुहुन्छ
2/20260223 141731.wav,यो रसिद सुरक्षित राख्नुहोला पछि काम लाग्छ
2/20260223 141737.wav,धन्यवाद सेवाग्राहीको सन्तुष्टि हाम्रो लक्ष्य हो
2/20260223 141745.wav,नेपाल सरकारको नियम पालना गरौँ
3/20260223 163855.wav,हजुरको खाता नम्बर भन्नुहोस् त म सिस्टममा हेर्छु
3/20260223 163903.wav,मोबाइल ब्याङ्किङ लक भयो भने अनलाइनबाटै खोल्न मिल्छ
3/20260223 163915.wav,तपाईँको हस्ताक्षर नमिलेकोले चेक साट्न मिलेन
3/20260223 163934.wav,कृपया काउन्टरमा भिड नगर्नुहोला
3/20260223 163940.wav,मेरो सेयरको पासवर्ड रिसेट गरिदिनु न
3/20260223 163947.wav,तपाईँको खातामा केवाइसी अपडेट गर्न बाँकी रहेछ
3/20260223 163953.wav,मुद्दते खातामा फिक्स्ड डिपोजिट राख्दा धेरै फाइदा हुन्छ
3/20260223 164002.wav,डलर कार्डको लागि पाँच सय रुपियाँ शुल्क लाग्छ
3/20260223 164019.wav,तपाईँको ऋण स्वीकृति लोन अप्रुभ्ड भएको पत्र लिन आउनुहोस्
3/20260223 164026.wav,बैङ्कको एप अपडेट गर्नुभयो भने नयाँ फिचर आउँछ
3/20260223 164047.wav,चेकको पछाडि दुईचोटि सही छाप गर्नुपर्छ
3/20260223 164053.wav,बाल बचत खातामा हामीले उपहारको व्यवस्था गरेका छौँ
3/20260223 164103.wav,तपाईँको कारोबार शङ्कास्पद देखिएको लेख रोककाक गरिएको हो
3/20260223 164111.wav,कनेक्ट आइपिएसमा ब्याङ्क लिङ्क गर्न सिकाउँछु
3/20260223 164117.wav,रेमिटन्सको पैसा लिन गोप्य कोड पिन चाहिन्छ
3/20260223 164125.wav,आज सिस्टम अलि ढिलो चलेको छ माफ गरिदिनुहोला
3/20260223 164132.wav,सुनधितो राखेर कर्जा लिन मिल्छ
3/20260223 164206.wav,अनलाइन फर्म भरेपछि रेफरेन्स कोडिएरस् कोड लिएर आउनुह
3/20260223 164221.wav,तपाईँको क्रेडिट कार्ड लिमिट पचास हजार छ
3/20260223 164227.wav,चेक हरायो भने तुरन्तै स्टप पेमेन्ट गर्नुहोला
3/20260223 164234.wav,स्टेटमेन्ट मेलमा पठाउन निवेदन दिनुहोस्
3/20260223 164240.wav,तपाईँको समस्या समाधान गर्न म प्रबन्धकसँग कुरा गर्छु
3/20260223 164247.wav,बैङ्क ग्यारेन्टी बनाउन कति रकमको आवश्यक छ
3/20260223 164254.wav,लकर सुविधा लिनका लागि अग्रिम भुक्तानी गर्नुपर्छ
3/20260223 164301.wav,आज विदेशी मुद्रा फोरएक्स साट्ने रेट कति छ
3/20260223 164324.wav,तपाईँको मोबाइल नम्बर परिवर्तन भएको हो
3/20260223 164401.wav,तपाईँको चेक क्लियरिङ बोलि हुन्छ
3/20260223 164407.wav,कृपया टोकन लिएर कुर्सीमा बस्नुहोस्
3/20260223 164413.wav,डिम्याट खाता नवीकरण गर्ने बेला भएछ
3/20260223 164419.wav,क्युआर कोड स्ट्यान््ड यहाँ छ
3/20260223 164434.wav,तपाईँको गुनासो हामीले गम्भीरतापूर्वक लिएका छौँ
3/20260223 164447.wav,कृपया ब्याङ्कभित्र टोपी र चस्मा खोलेर आउनुहोला
